Country,ISO_Code,GDLCODE,Region
Congo Brazzaville,COG,COGr202, Niari
Congo Brazzaville,COG,COGr206, Plateaux
Congo Brazzaville,COG,COGr212, Pointe Noire
Congo Brazzaville,COG,COGr205, Pool
Congo Brazzaville,COG,COGr209, Sangha
Congo Democratic Republic,COD,CODt,Total
Congo Democratic Republic,COD,CODr103,Bandundu
Congo Democratic Republic,COD,CODr102,Bas-Congo
Congo Democratic Republic,COD,CODr104,Equateur
Congo Democratic Republic,COD,CODr111,Kasai Occidental
Congo Democratic Republic,COD,CODr110,Kasai Oriental
Congo Democratic Republic,COD,CODr109,Katanga
Congo Democratic Republic,COD,CODr101,Kinshasa
Congo Democratic Republic,COD,CODr108,Maniema
Congo Democratic Republic,COD,CODr106,Nord-Kivu
Congo Democratic Republic,COD,CODr105,Orientale
Congo Democratic Republic,COD,CODr107,Sud-Kivu
Costa Rica,CRI,CRIt,Total
Costa Rica,CRI,CRIr102,Alajuela
Costa Rica,CRI,CRIr103,Cartago
Costa Rica,CRI,CRIr105,Guanacaste
Costa Rica,CRI,CRIr104,Heredia
Costa Rica,CRI,CRIr107,Limon
Costa Rica,CRI,CRIr106,Puntarenas
Costa Rica,CRI,CRIr101,San Jose
Cote d'Ivoire,CIV,CIVt,Total
Cote d'Ivoire,CIV,CIVr101,Centre
Cote d'Ivoire,CIV,CIVr102,Centre Est
Cote d'Ivoire,CIV,CIVr103,Centre Nord
Cote d'Ivoire,CIV,CIVr104,Centre Ouest
Cote d'Ivoire,CIV,CIVr105,Nord
Cote d'Ivoire,CIV,CIVr106,Nord Est
Cote d'Ivoire,CIV,CIVr107,Nord Ouest
Cote d'Ivoire,CIV,CIVr108,Ouest
Cote d'Ivoire,CIV,CIVr110,Sud Ouest
Cote d'Ivoire,CIV,CIVr109,"Sud, Abidjan"
Croatia,HRV,HRVt,Total
Croatia,HRV,HRVr101,City of Zagreb
Croatia,HRV,HRVr107,County of Bjelovar-Bilogora
Croatia,HRV,HRVr110,County of Brod-Posavina
Croatia,HRV,HRVr121,County of Dubrovnik-Neretva
Croatia,HRV,HRVr120,County of Istria
Croatia,HRV,HRVr113,County of Karlovac
Croatia,HRV,HRVr105,County of Koprivnica-Krizevc
Croatia,HRV,HRVr103,County of Krapina-Zagorje
Croatia,HRV,HRVr116,County of Lika-Senj
Croatia,HRV,HRVr106,County of Medimurje
Croatia,HRV,HRVr111,County of Osijek-Baranja
Croatia,HRV,HRVr109,County of Pozega-Slavonia
Croatia,HRV,HRVr115,County of Primorje-Gorski Kotar
Croatia,HRV,HRVr118,County of Sibenik-Knin
Croatia,HRV,HRVr114,County of Sisak-Moslavina
Croatia,HRV,HRVr119,County of Split-Dalmatia
Croatia,HRV,HRVr104,County of Varazdin
Croatia,HRV,HRVr108,County of Virovitica-Podravina
Croatia,HRV,HRVr112,County of Vukovar-Srijem
Croatia,HRV,HRVr117,County of Zadar
Croatia,HRV,HRVr102,County of Zagreb
Cuba,CUB,CUBt,Total
Cuba,CUB,CUBr103,Centro
Cuba,CUB,CUBr102,Ciudad Habana
Cuba,CUB,CUBr101,Occidente
Cuba,CUB,CUBr104,Oriente
Cyprus,CYP,CYPt,Total
Czech Republic,CZE,CZEt,Total
Czech Republic,CZE,CZEr106,Jihovychod
Czech Republic,CZE,CZEr103,Jihozapad
Czech Republic,CZE,CZEr108,Moravskoslezsko
Czech Republic,CZE,CZEr101,Praha
Czech Republic,CZE,CZEr105,Severovychod
Czech Republic,CZE,CZEr104,Severozapad
Czech Republic,CZE,CZEr102,Stredni Cechy
Czech Republic,CZE,CZEr107,Stredni Morava
Denmark,DNK,DNKt,Total
Denmark,DNK,DNKr101,Hovedstaden
Denmark,DNK,DNKr104,Midtjylland
Denmark,DNK,DNKr105,Nordjylland
Denmark,DNK,DNKr102,Sjaelland
Denmark,DNK,DNKr103,Syddanmark
Djibouti,DJI,DJIt,Total
Djibouti,DJI,DJIr101,Djibouti
Djibouti,DJI,DJIr102,Other Districts
Dominica,DMA,DMAt,Total
Dominican Republic,DOM,DOMt,Total
Dominican Republic,DOM,DOMr101,"Region 0 (Distrito Nacional, Santo Domingo, Monte Plata)"
Dominican Republic,DOM,DOMr102,"Region I (Peravia, San Cristobal, San Jose de Ocoa, Azua)"
Dominican Republic,DOM,DOMr103,"Region II (Espaillat, Puerto Plata, Santiago)"
Dominican Republic,DOM,DOMr104,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
Dominican Republic,DOM,DOMr105,"Region IV (Independencia, Bahoruco, Barahona, Pedernales)"
Dominican Republic,DOM,DOMr106,"Region V (El Seibo, La Altagracia, La Romana, San Pedro de Macoris, Hato Mayor)"
Dominican Republic,DOM,DOMr107,"Region VI (San Juan, Elias Pina)"
Dominican Republic,DOM,DOMr108,"Region VII (Dajabon, Monte Cristi, Santiago Rodriguez, Valverde)"
Dominican Republic,DOM,DOMr109,"Region VIII (La Vega, Monsenor Nouel, Sanchez Ramirez)"
Ecuador,ECU,ECUt,Total
Ecuador,ECU,ECUr101,Coste
Ecuador,ECU,ECUr103,Oriente
Ecuador,ECU,ECUr102,Sierra
Egypt,EGY,EGYt,Total
Egypt,EGY,EGYr102,Alexandria
Egypt,EGY,EGYr118,Assuit
Egypt,EGY,EGYr121,Aswan
Egypt,EGY,EGYr112,Behera
Egypt,EGY,EGYr115,Beni Suef
Egypt,EGY,EGYr101,Cairo
Egypt,EGY,EGYr106,Dakahlia
Egypt,EGY,EGYr105,Damietta
Egypt,EGY,EGYr116,Fayoum
Egypt,EGY,EGYr122,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
Egypt,EGY,EGYr110,Gharbia
Egypt,EGY,EGYr114,Giza
Egypt,EGY,EGYr113,Ismailia
Egypt,EGY,EGYr109,Kafr El-Sheikh
Egypt,EGY,EGYr108,Kalyubia
Egypt,EGY,EGYr111,Menoufia
Egypt,EGY,EGYr117,Menya
Egypt,EGY,EGYr103,Port Said
Egypt,EGY,EGYr120,Qena
Egypt,EGY,EGYr107,Sharkia
Egypt,EGY,EGYr119,Souhag
Egypt,EGY,EGYr104,Suez
El Salvador,SLV,SLVt,Total
El Salvador,SLV,SLVr102,Central I
El Salvador,SLV,SLVr103,Central II
El Salvador,SLV,SLVr101,Occidental
El Salvador,SLV,SLVr104,Oriental
Equatorial Guinea,GNQ,GNQt,Total
