Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Moldova","MDA","National","MDAt","Total",,,,,,,,,,,,8.31,7.87,7.43,6.99,6.55,6.11,5.67,5.24,4.80,4.36,3.92,3.48,3.04,2.60,,,
"Mongolia","MNG","National","MNGt","Total",,,,,,,,,,,,32.8,30.8,28.8,26.8,24.9,22.9,20.9,18.9,16.9,14.9,13.0,11.0,,,,,
"Monte Negro","MNE","National","MNEt","Total",,,,,,,,,,,,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.25,0.21,0.17,0.13,0.09,0.06,0.04,0.01,,
"Morocco","MAR","National","MARt","Total",42.9,41.0,39.0,37.1,35.1,33.2,31.3,29.3,27.4,25.5,23.5,21.6,19.7,17.9,16.1,14.4,12.6,10.8,9.06,7.30,5.53,3.77,2.00,0.24,0.16,0.09,0.01,
"Mozambique","MOZ","National","MOZt","Total",,,,94.0,93.6,93.3,93.0,92.6,92.3,91.9,91.6,91.2,90.9,89.8,88.7,87.5,86.4,85.3,84.2,83.1,81.9,80.8,79.7,78.6,,,,
"Myanmar","MMR","National","MMRt","Total",,,,,,,41.6,41.0,40.4,39.8,39.2,38.6,37.9,37.3,36.7,36.1,35.5,34.9,34.3,33.7,33.1,32.5,31.9,31.3,30.7,30.1,29.5,28.9
"Namibia","NAM","National","NAMt","Total",61.9,61.8,61.6,61.5,61.3,61.2,61.0,60.9,60.7,60.6,58.5,56.5,54.4,52.3,50.3,48.2,47.3,46.3,45.3,44.4,43.4,42.4,41.5,40.5,39.5,38.6,,
"Nepal","NPL","National","NPLt","Total",,,96.1,94.0,92.0,89.9,87.8,85.8,83.7,81.7,79.6,77.5,75.5,73.4,71.4,69.3,63.2,57.1,51.0,44.9,38.8,35.0,31.3,27.6,23.9,20.1,16.4,12.7
"Nicaragua","NIC","National","NICt","Total",,,,,47.0,45.5,43.9,42.4,40.9,39.4,37.8,37.8,37.7,37.7,37.6,37.6,37.5,36.1,34.8,33.4,32.0,30.6,29.2,27.8,26.4,,,
"Niger","NER","National","NERt","Total",,,,,94.0,93.8,93.7,93.5,93.3,93.2,93.0,92.8,92.7,92.5,92.3,92.2,90.9,89.7,88.5,87.2,86.0,84.8,83.6,82.3,81.1,,,
"Nigeria","NGA","National","NGAt","Total",,,,,,70.7,68.7,66.7,64.8,62.8,60.8,58.9,56.9,55.9,54.9,53.8,52.8,51.8,49.8,47.9,46.0,44.1,42.1,41.1,40.1,39.1,38.1,37.1
"North Macedonia","MKD","National","MKDt","Total",,,,,,,,,,,,0.77,0.72,0.68,0.63,0.58,0.54,0.49,0.44,0.40,0.35,0.30,0.26,0.21,,,,
"Pakistan","PAK","National","PAKt","Total",63.9,61.8,59.8,57.7,55.6,53.5,51.5,49.4,47.3,45.2,43.2,41.1,39.0,36.9,34.9,32.8,30.7,28.5,26.3,24.1,21.9,19.7,18.4,17.1,15.8,14.6,13.3,12.0
"Palestine","PSE","National","PSEt","Total",,,,,,,,,,,,,,,,,0.74,0.64,0.55,0.45,0.36,0.26,0.17,0.07,0.05,0.03,0.01,
"Panama","PAN","National","PANt","Total",,,,,,,,,,,,,,25.5,23.2,20.9,18.7,16.4,14.1,11.9,9.60,7.33,7.47,7.61,7.75,7.89,,
"Papua New Guinea","PNG","National","PNGt","Total",,,,,,,,,,,,,,,,,,,,,,,,77.3,77.3,77.3,77.3,77.3
"Paraguay","PRY","National","PRYt","Total",,,,,,,,,15.2,15.3,15.4,15.4,15.5,15.6,15.6,15.7,15.8,13.7,11.6,9.55,7.48,5.41,3.61,1.81,0.01,,,
"Peru","PER","National","PERt","Total",,,43.5,42.7,41.8,40.9,40.0,39.2,38.3,37.4,36.9,36.3,35.8,35.3,31.9,28.6,27.8,26.9,21.5,18.2,15.4,14.1,12.7,11.3,9.94,,,
"Philippines","PHL","National","PHLt","Total",,,,,27.6,26.7,25.8,24.9,23.9,23.0,22.1,21.2,20.3,19.6,19.0,18.3,17.7,17.0,15.5,14.0,12.5,10.9,9.41,8.88,8.34,7.81,7.27,6.74
"Rwanda","RWA","National","RWAt","Total",98.6,98.2,97.8,97.4,97.0,96.6,96.2,95.8,95.4,95.0,95.2,95.5,95.8,96.1,96.4,94.6,92.7,90.9,89.0,87.2,85.7,84.2,82.7,81.2,79.7,78.2,76.7,75.2
"Saint Lucia","LCA","National","LCAt","Total",,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,
"Sao Tome & Principe","STP","National","STPt","Total",,,,,,,67.0,65.1,63.3,61.4,59.6,57.7,55.8,54.0,52.1,50.2,48.4,46.5,44.6,41.3,38.0,34.7,31.4,28.1,24.8,21.5,18.2,
"Saudi Arabia","SAU","National","SAUt","Total",,,,,,,,,,,,,,,,,,3.71,3.71,3.71,3.71,3.71,3.71,3.71,,,,
"Senegal","SEN","National","SENt","Total",68.5,68.2,67.9,67.6,67.3,67.0,66.7,64.5,62.2,60.0,57.8,55.5,53.3,51.1,48.9,46.6,44.3,42.1,39.8,37.5,35.3,30.4,29.5,28.7,28.6,28.6,23.5,18.4
"Serbia","SRB","National","SRBt","Total",,,,,,,,,,,,1.10,0.98,0.86,0.74,0.62,0.50,0.38,0.26,0.14,0.17,0.21,0.24,0.27,0.30,0.34,0.37,
